email_id,subject,body,sender,num_urls,has_suspicious_domain,urgency_word_count,label
1,Important: Your Refund Is Pending Approval,"Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://update-your-info-now.tk/secure to receive your refund today. Best regards,
Support Team",support@amaz0n-rewards.info,1,1,0,1
2,Thank You for Your Recent Purchase,"Dear Customer, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://shipping.fedex.com/track. Regards,
Admin Team",hr@company.com,1,0,0,0
3,Important: Your Refund Is Pending Approval,"Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://192.168.44.21/verify-account to avoid service interruption.",support@amaz0n-rewards.info,1,1,2,1
4,Notes from Today's Client Call,"Hi, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Cheers,
Priya",notifications@github.com,0,0,0,0
5,New Blog Post: Tips for Remote Work,"Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://shipping.fedex.com/track. Cheers,
Priya",support@fedex.com,1,0,0,0
6,Your Subscription Is About to Expire,"Hello, Your accont has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://secure-login-verify.com/account within 12 hours. Regards,
Account Services",alerts@bank0famerica.co,1,1,2,1
7,Quarterly Performance Report Attached,"Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best regards,
Project Team",newsletter@company.com,0,0,0,0
8,Action Required: Verify Your Identity Now,"Hi there, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Thank you,
Team",alerts@bank0famerica.co,2,1,1,1
9,Invoice #4521 Attached,"Hello, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Best,
Sarah",team-lead@company.com,1,0,0,0
10,Your Invoice Is Overdue - Pay Immediately,"Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://update-your-info-now.tk/secure and entering your bank details. Regards,
Account Services",team@irs-refunds.top,2,1,1,1
11,Welcome to Our Service!,"Dear User, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Best,
Sarah",notifications@github.com,1,0,0,0
12,Your Monthly Newsletter is Here,"Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",hr@company.com,1,0,0,0
13,Your Package Could Not Be Delivered,"Hi, Dear Customer, we detected unusual activity on your account. Click the link below immediately to verify your identity or your account will be permanently suspended within 24 hours. http://appleid-confirm-account.xyz/login Thank you,
Team",security@paypa1-support.com,1,1,5,1
14,Welcome to Our Service!,"Hi there, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://github.com/company/project. Thank you,
HR",billing@vendor.com,0,0,0,0
15,Meeting Rescheduled to 3 PM Tomorrow,"Dear Customer, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best regards,
Project Team",newsletter@company.com,1,0,0,0
16,Warning: Suspicious Login From New Device,"Dear user, our system detected a policy violation on your account. Verify your information at http://amaz0n-rewards-claim.info/prize within 24 hours to prevent permanent closure. Thank you,
Team",security@paypa1-support.com,1,1,1,1
17,Upcoming Webinar: AI in Healthcare,"Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best,
Sarah",billing@vendor.com,1,0,0,0
18,Invoice #4521 Attached,"Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",notifications@github.com,1,0,0,0
19,Your Invoice Is Overdue - Pay Immediately,"Hi, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Sincerely,
Customer Service",service@microsoft-alerts.xyz,2,1,2,1
20,You Have Won a Prize! Claim Now,"Your package delivery has failed due to an incomplete address. Click http://secure-login-verify.com/account now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",billing@netflix-update.ru,3,1,2,1
21,Urgent: Your Account Will Be Suspended,"Hello, We were unable to process your recent payment. Please update your billing information immediately at http://amaz0n-rewards-claim.info/prize to avoid service interruption. Best regards,
Support Team",billing@netflix-update.ru,1,1,1,1
22,Invoice #4521 Attached,"Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best regards,
Project Team",team-lead@company.com,0,0,0,0
23,Notes from Today's Client Call,"Urgent: Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",team-lead@company.com,0,0,1,0
24,Notes from Today's Client Call,"Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Regards,
Admin Team",hr@company.com,0,0,0,0
25,Your Monthly Newsletter is Here,"Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thanks,
Raj",support@fedex.com,0,0,0,0
26,Final Notice: Your Account Has Been Locked,"Hi, Your package delivery has failed due to an incomplete address. Click http://192.168.44.21/verifyy-account now and pay a small redelivery fee to reschedule. Thank you,
Team",security@paypa1-support.com,1,1,2,1
27,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",team-lead@company.com,0,0,0,0
28,Verify Your Bank Details to Avoid Suspension,"Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Best regards,
Support Team",service@microsoft-alerts.xyz,1,1,1,1
29,Congratulations on Your Work Anniversary,"Hello, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",no-reply@zoom.us,1,0,0,0
30,Security Alert: Unusual Sign-in Activity Detected,"Dear User, Your package delivery has failed due to an incomplete address. Click http://update-your-info-now.tk/secure now and pay a small redelivery fee to reschedule. Regards,
Account Services",service@microsoft-alerts.xyz,1,1,1,1
31,Invoice #4521 Attached,"Hi team, sharing my notes from today's call with the client. They are happy with the current progress and requested a demo next week. Best,
Sarah",team-lead@company.com,1,0,0,0
32,Verify Your Bank Details to Avoid Suspension,"Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://microsoft-support-alert.co/reset and entering your bank details. Thanks,
The Team",support@amaz0n-rewards.info,1,1,2,1
33,New Blog Post: Tips for Remote Work,"Hello, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya Please confirm receipt of this email at your earliest convenience.",notifications@github.com,1,0,1,0
34,Your Package Could Not Be Delivered,"Hello, Your package delivery has failed due to an incomplete address. Click http://amaz0n-rewards-claim.info/prize now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",service@microsoft-alerts.xyz,3,1,1,1
35,Important: Your Refund Is Pending Approval,"Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://microsoft-support-alert.co/reset to avoid service interruption. Sincerely,
Customer Service",support@amaz0n-rewards.info,0,1,2,1
36,Congratulations on Your Work Anniversary,"Dear Customer, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",newsletter@company.com,0,0,0,0
37,Invoice #4521 Attached,"Dear Customer, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",newsletter@company.com,0,0,0,0
38,Project Update: Sprint Review Notes,"Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",hr@company.com,0,0,0,0
39,Your Invoice Is Overdue - Pay Immediately,"Hi, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://192.168.44.21/verify-account within 12 hours. Best regards,
Support Team",alerts@bank0famerica.co,1,1,2,1
40,Your Monthly Newsletter is Here,"Hi, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Regards,
Admin Team",newsletter@company.com,0,0,0,0
41,Your Monthly Newsletter is Here,"Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best,
Sarah Please confirm receipt of this email at your earliest convenience.",manager@company.com,1,0,1,0
42,Your Package Could Not Be Delivered,"Hello, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://netflix-billing-update.ru/pay to receive your refund today. Regards,
Account Services",billing@netflix-update.ru,3,1,0,1
43,Important: Your Refund Is Pending Approval,"Dear User, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Best regards,
Support Team",admin@account-verify-center.com,2,1,2,1
44,Congratulations on Your Work Anniversary,"Urgent: Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Thanks,
Raj",no-reply@zoom.us,0,0,1,0
45,Reminder: Submit Your Timesheet,"Hi there, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Thank you,
HR",no-reply@zoom.us,0,0,0,0
46,Important: Your Refund Is Pending Approval,"Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://192.168.44.21/verify-account immediately to upgrade for free.",no-reply@appleid-verify.net,3,1,3,1
47,Warning: Suspicious Login From New Device,"Hi there, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://appleid-confirm-account.xyz/login and entering your bank details. Regards,
Account Services",support@amaz0n-rewards.info,2,1,2,1
48,Congratulations on Your Work Anniversary,"Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best regards,
Project Team",notifications@github.com,1,0,0,0
49,Security Alert: Unusual Sign-in Activity Detected,"Your package delivery has failed due to an incomplete address. Click http://bank0famerica-alert.com/verify now and pay a small redelivery fee to reschedule. Best regards,
Support Team",team@irs-refunds.top,2,1,3,1
50,Your Package Could Not Be Delivered,"Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://netflix-billing-update.ru/pay immediately to upgrade for free. Regards,
Account Services",team@irs-refunds.top,3,1,2,1
51,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Regards,
Admin Team",billing@vendor.com,0,0,0,0
52,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",team-lead@company.com,0,0,0,0
53,Notes from Today's Client Call,"Hello, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",team-lead@company.com,0,0,0,0
54,You Have Won a Prize! Claim Now,"Hi, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://amaz0n-rewards-claim.info/prize immediately to upgrade for free.",alerts@bank0famerica.co,3,1,2,1
55,Final Notice: Your Account Has Been Locked,"Hi, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://192.168.44.21/verify-account to receive your refund today. Thanks,
The Team",security@paypa1-support.com,0,1,1,1
56,Your Monthly Newsletter is Here,"Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",notifications@github.com,1,0,0,0
57,Notes from Today's Client Call,"Urgent: Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best,
Sarah",billing@vendor.com,1,0,1,0
58,Urgent: Your Account Will Be Suspended,"Dear Customer, Act now! Your subscription expires today. Renew immediately at http://microsoft-support-alert.co/reset to avoid losing access to your account permanently. Thanks,
The Team",admin@account-verify-center.com,0,1,3,1
59,Congratulations! You Are Selected for a Reward,"Dear User, Act now! Your subscription expires today. Renew immediately at http://amaz0n-rewards-claim.info/prize to avoid losing access to your account permanently. Sincerely,
Customer Service",admin@account-verify-center.com,0,1,2,1
60,Quarterly Performance Report Attached,"Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",no-reply@zoom.us,0,0,0,0
61,Notes from Today's Client Call,"Hi, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://docs.google.com/spreadsheets/d/abc123. Regards,
Admin Team",newsletter@company.com,0,0,0,0
62,Warning: Suspicious Login From New Device,"Dear User, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://update-your-info-now.tk/secure within 12 hours.",team@irs-refunds.top,1,1,1,1
63,Welcome to Our Service!,"Urgent: Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best regards,
Project Team",newsletter@company.com,1,0,1,0
64,Urgent: Your Account Will Be Suspended,"Hi there, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://amaz0n-rewards-claim.info/prize within 12 hours. Thank you,
Team",service@microsoft-alerts.xyz,1,1,1,1
65,Warning: Suspicious Login From New Device,"Hello, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://paypal-security-update.net/confirm within 12 hours. Regards,
Account Services",admin@account-verify-center.com,3,1,2,1
66,Your Monthly Newsletter is Here,"Dear User, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best,
Sarah",billing@vendor.com,0,0,0,0
