email_id,subject,body,sender,num_urls,has_suspicious_domain,urgency_word_count,label,full_text,clean_text
1,Important: Your Refund Is Pending Approval,"Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://update-your-info-now.tk/secure to receive your refund today. Best regards,
Support Team",support@amaz0n-rewards.info,1,1,0,1,"Important: Your Refund Is Pending Approval Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://update-your-info-now.tk/secure to receive your refund today. Best regards,
Support Team",important refund pending approval dear user unclaimed refund waiting submit bank account details URLTOKEN receive refund today best regards support team
2,Thank You for Your Recent Purchase,"Dear Customer, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://shipping.fedex.com/track. Regards,
Admin Team",hr@company.com,1,0,0,0,"Thank You for Your Recent Purchase Dear Customer, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://shipping.fedex.com/track. Regards,
Admin Team",thank recent purchase dear customer good news order shipped way track shipment using link URLTOKEN regards admin team
3,Important: Your Refund Is Pending Approval,"Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://192.168.44.21/verify-account to avoid service interruption.",support@amaz0n-rewards.info,1,1,2,1,"Important: Your Refund Is Pending Approval Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://192.168.44.21/verify-account to avoid service interruption.",important refund pending approval dear customer unable process recent payment please update billing information immediately URLTOKEN avoid service interruption
4,Notes from Today's Client Call,"Hi, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Cheers,
Priya",notifications@github.com,0,0,0,0,"Notes from Today's Client Call Hi, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Cheers,
Priya",notes todays client call hi hi everyone attached agenda weekly team sync please review meeting add topics youd like discuss cheers priya
5,New Blog Post: Tips for Remote Work,"Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://shipping.fedex.com/track. Cheers,
Priya",support@fedex.com,1,0,0,0,"New Blog Post: Tips for Remote Work Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://shipping.fedex.com/track. Cheers,
Priya",new blog post tips remote work hello monthly newsletter updates new features upcoming events customer stories read blog URLTOKEN cheers priya
6,Your Subscription Is About to Expire,"Hello, Your accont has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://secure-login-verify.com/account within 12 hours. Regards,
Account Services",alerts@bank0famerica.co,1,1,2,1,"Your Subscription Is About to Expire Hello, Your accont has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://secure-login-verify.com/account within 12 hours. Regards,
Account Services",subscription expire hello accont flagged suspicious activity avoid permanent suspension please confirm login credentials URLTOKEN within hours regards account services
7,Quarterly Performance Report Attached,"Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best regards,
Project Team",newsletter@company.com,0,0,0,0,"Quarterly Performance Report Attached Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best regards,
Project Team",quarterly performance report attached hi hi friendly reminder submit timesheet week friday pm thanks cooperation best regards project team
8,Action Required: Verify Your Identity Now,"Hi there, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Thank you,
Team",alerts@bank0famerica.co,2,1,1,1,"Action Required: Verify Your Identity Now Hi there, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Thank you,
Team",action required verify identity hi unclaimed refund waiting submit bank account details URLTOKEN receive refund today thank team
9,Invoice #4521 Attached,"Hello, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Best,
Sarah",team-lead@company.com,1,0,0,0,"Invoice #4521 Attached Hello, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Best,
Sarah",invoice attached hello hi everyone attached agenda weekly team sync please review meeting add topics youd like discuss best sarah
10,Your Invoice Is Overdue - Pay Immediately,"Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://update-your-info-now.tk/secure and entering your bank details. Regards,
Account Services",team@irs-refunds.top,2,1,1,1,"Your Invoice Is Overdue - Pay Immediately Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://update-your-info-now.tk/secure and entering your bank details. Regards,
Account Services",invoice overdue pay immediately hi congratulations selected receive cash reward claim prize clicking URLTOKEN entering bank details regards account services
11,Welcome to Our Service!,"Dear User, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Best,
Sarah",notifications@github.com,1,0,0,0,"Welcome to Our Service! Dear User, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Best,
Sarah",welcome service dear user thank recent purchase receipt attached questions feel free reach support team best sarah
12,Your Monthly Newsletter is Here,"Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",hr@company.com,1,0,0,0,"Your Monthly Newsletter is Here Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",monthly newsletter dear user hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule cheers priya
13,Your Package Could Not Be Delivered,"Hi, Dear Customer, we detected unusual activity on your account. Click the link below immediately to verify your identity or your account will be permanently suspended within 24 hours. http://appleid-confirm-account.xyz/login Thank you,
Team",security@paypa1-support.com,1,1,5,1,"Your Package Could Not Be Delivered Hi, Dear Customer, we detected unusual activity on your account. Click the link below immediately to verify your identity or your account will be permanently suspended within 24 hours. http://appleid-confirm-account.xyz/login Thank you,
Team",package could delivered hi dear customer detected unusual activity account click link immediately verify identity account permanently suspended within hours URLTOKEN thank team
14,Welcome to Our Service!,"Hi there, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://github.com/company/project. Thank you,
HR",billing@vendor.com,0,0,0,0,"Welcome to Our Service! Hi there, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://github.com/company/project. Thank you,
HR",welcome service hi good news order shipped way track shipment using link URLTOKEN thank hr
15,Meeting Rescheduled to 3 PM Tomorrow,"Dear Customer, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best regards,
Project Team",newsletter@company.com,1,0,0,0,"Meeting Rescheduled to 3 PM Tomorrow Dear Customer, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best regards,
Project Team",meeting rescheduled pm tomorrow dear customer welcome aboard excited part community heres quick guide help get started new account best regards project team
16,Warning: Suspicious Login From New Device,"Dear user, our system detected a policy violation on your account. Verify your information at http://amaz0n-rewards-claim.info/prize within 24 hours to prevent permanent closure. Thank you,
Team",security@paypa1-support.com,1,1,1,1,"Warning: Suspicious Login From New Device Dear user, our system detected a policy violation on your account. Verify your information at http://amaz0n-rewards-claim.info/prize within 24 hours to prevent permanent closure. Thank you,
Team",warning suspicious login new device dear user system detected policy violation account verify information URLTOKEN within hours prevent permanent closure thank team
17,Upcoming Webinar: AI in Healthcare,"Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best,
Sarah",billing@vendor.com,1,0,0,0,"Upcoming Webinar: AI in Healthcare Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best,
Sarah",upcoming webinar ai healthcare dear user please find attached invoice services rendered june payment due within days per agreement best sarah
18,Invoice #4521 Attached,"Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",notifications@github.com,1,0,0,0,"Invoice #4521 Attached Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",invoice attached hi hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule best sarah
19,Your Invoice Is Overdue - Pay Immediately,"Hi, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Sincerely,
Customer Service",service@microsoft-alerts.xyz,2,1,2,1,"Your Invoice Is Overdue - Pay Immediately Hi, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Sincerely,
Customer Service",invoice overdue pay immediately hi dear user system detected policy violation account verify information URLTOKEN within hours prevent permanent closure sincerely customer service
20,You Have Won a Prize! Claim Now,"Your package delivery has failed due to an incomplete address. Click http://secure-login-verify.com/account now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",billing@netflix-update.ru,3,1,2,1,"You Have Won a Prize! Claim Now Your package delivery has failed due to an incomplete address. Click http://secure-login-verify.com/account now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",prize claim package delivery failed due incomplete address click URLTOKEN pay small redelivery fee reschedule sincerely customer service
21,Urgent: Your Account Will Be Suspended,"Hello, We were unable to process your recent payment. Please update your billing information immediately at http://amaz0n-rewards-claim.info/prize to avoid service interruption. Best regards,
Support Team",billing@netflix-update.ru,1,1,1,1,"Urgent: Your Account Will Be Suspended Hello, We were unable to process your recent payment. Please update your billing information immediately at http://amaz0n-rewards-claim.info/prize to avoid service interruption. Best regards,
Support Team",urgent account suspended hello unable process recent payment please update billing information immediately URLTOKEN avoid service interruption best regards support team
22,Invoice #4521 Attached,"Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best regards,
Project Team",team-lead@company.com,0,0,0,0,"Invoice #4521 Attached Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best regards,
Project Team",invoice attached please find attached invoice services rendered june payment due within days per agreement best regards project team
23,Notes from Today's Client Call,"Urgent: Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",team-lead@company.com,0,0,1,0,"Notes from Today's Client Call Urgent: Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",notes todays client call urgent hi welcome aboard excited part community heres quick guide help get started new account thank hr
